As at 31 March...,Geo code,Force Name,Region,Gender,Rank description,Worker type,Ethnicity,Ethnic group,Total (headcount),Total (FTE),,,
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,White,White,0,0,,,
2003,E23000036,Avon & Somerset,South West,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000036,Avon & Somerset,South West,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000036,Avon & Somerset,South West,Male,Chief Officer,Police Officer,White,White,4,4,,,
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,White,White,0,0,,,
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
