As at 31 March...,Geo code,Force Name,Region,Gender,Rank description,Worker type,Ethnicity,Ethnic group,Total (headcount),Total (FTE)
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Officer,Police Officer,White,White, -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Inspector,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Inspector,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Inspector,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Inspector,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Inspector,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Inspector,Police Officer,White,White, 8 , 8 
2003,E23000036,Avon & Somerset,South West,Female,Chief Superintendent,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Superintendent,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Superintendent,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Superintendent,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Superintendent,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Female,Chief Superintendent,Police Officer,White,White, -, -
2003,E23000036,Avon & Somerset,South West,Female,Constable,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", 1 , 1 
2003,E23000036,Avon & Somerset,South West,Female,Constable,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", 6 , 6 
2003,E23000036,Avon & Somerset,South West,Female,Constable,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", 1 , 1 
